1,2,3,4,5,6,7,8
9.0833,6.4493,11.285,8.8353,8.9701,7.0552,13.234,7.6629
7.3593,7.8882,6.5549,7.9609,6.5325,7.3144,7.1332,8.2714
18.39,15.201,24.147,14.195,19.264,14.676,23.343,11.484
10.436,9.7656,12.01,8.7195,10.942,9.9109,11.708,9.8127
7.2878,6.279,7.2857,7.6381,7.6328,7.3622,7.5588,7.165
9.1639,8.4683,8.8707,9.7911,8.1957,9.4366,9.3909,9.386
6.8796,5.0073,8.8431,6.0441,6.3746,4.6486,9.1851,4.6787
5.4719,6.6599,6.0324,9.037,5.4025,6.1873,6.1436,8.419
8.1929,7.02,11.154,7.6791,9.183,6.9739,11.164,7.0982
5.2163,4.1509,6.7795,4.0752,5.3909,4.9677,6.5911,4.6648
9.1431,6.9653,11.622,7.6056,9.1675,7.3851,10.596,7.3698
8.6292,9.5993,8.5584,10.159,8.6961,10.106,8.1848,10.084
4.5198,4.4246,5.7469,4.0184,4.6567,4.1533,6.033,4.4036
8.7578,6.7114,10.608,5.8551,8.4493,5.9092,9.9417,5.9782
13.704,8.4495,16.125,6.2857,14.627,8.2263,16.155,6.4878
11.648,8.8585,13.466,9.2896,10.28,10.42,13.277,7.619
